[14-Nov-2014 16:15:54 UTC] PHP Fatal error:  Cannot redeclare class Pacientes in /var/www/bg-dental/app/models/Presupuestos.php on line 0
[26-Nov-2014 18:07:42 UTC] PHP Parse error:  syntax error, unexpected '?' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 15
[26-Nov-2014 18:09:06 UTC] PHP Parse error:  syntax error, unexpected end of file in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 25
[26-Nov-2014 18:30:10 UTC] PHP Parse error:  syntax error, unexpected '<' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[26-Nov-2014 18:38:58 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 29
[27-Nov-2014 09:26:36 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 21
[27-Nov-2014 09:35:10 UTC] PHP Fatal error:  Undefined class constant 'companias' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[27-Nov-2014 09:47:24 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /var/www/bg-dental/app/controllers/TratamientosController.php on line 15
[27-Nov-2014 09:58:18 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /var/www/bg-dental/app/controllers/TratamientosController.php on line 15
[27-Nov-2014 10:30:42 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 14
[27-Nov-2014 10:32:21 UTC] PHP Parse error:  syntax error, unexpected '}' in /var/www/bg-dental/app/controllers/TratamientosController.php on line 16
[27-Nov-2014 10:47:28 UTC] PHP Parse error:  syntax error, unexpected '}' in /var/www/bg-dental/app/controllers/TratamientosController.php on line 21
[27-Nov-2014 11:28:17 UTC] PHP Parse error:  syntax error, unexpected ',' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 16
[27-Nov-2014 11:29:52 UTC] PHP Parse error:  syntax error, unexpected '=' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[27-Nov-2014 11:30:02 UTC] PHP Parse error:  syntax error, unexpected ',' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[27-Nov-2014 11:30:39 UTC] PHP Parse error:  syntax error, unexpected ',' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[27-Nov-2014 12:14:46 UTC] PHP Parse error:  syntax error, unexpected end of file in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 24
[27-Nov-2014 12:16:17 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 14
[27-Nov-2014 12:16:57 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 14
[27-Nov-2014 12:17:44 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 14
[27-Nov-2014 12:17:57 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 17
[27-Nov-2014 18:00:46 UTC] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www/bg-dental/app/controllers/TratamientosController.php on line 77
[28-Nov-2014 09:14:56 UTC] PHP Parse error:  syntax error, unexpected 'pacientes' (T_STRING) in /var/www/bg-dental/app/storage/views/a23b6e934fa166b7d222b40c759ecd87 on line 28
[28-Nov-2014 09:15:56 UTC] PHP Parse error:  syntax error, unexpected 'pacientes' (T_STRING) in /var/www/bg-dental/app/storage/views/a23b6e934fa166b7d222b40c759ecd87 on line 28
[28-Nov-2014 09:20:23 UTC] PHP Parse error:  syntax error, unexpected 'pacientes' (T_STRING) in /var/www/bg-dental/app/storage/views/a23b6e934fa166b7d222b40c759ecd87 on line 28
[28-Nov-2014 09:26:17 UTC] PHP Parse error:  syntax error, unexpected '{' in /var/www/bg-dental/app/storage/views/a23b6e934fa166b7d222b40c759ecd87 on line 28
[28-Nov-2014 09:27:04 UTC] PHP Parse error:  syntax error, unexpected '{' in /var/www/bg-dental/app/storage/views/a23b6e934fa166b7d222b40c759ecd87 on line 28
[28-Nov-2014 09:35:47 UTC] PHP Fatal error:  Class 'make' not found in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 25
[28-Nov-2014 09:46:16 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 42
[12-Dec-2014 09:16:28 UTC] PHP Parse error:  syntax error, unexpected ';' in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 33
[12-Dec-2014 09:39:26 UTC] PHP Parse error:  syntax error, unexpected 'primero' (T_STRING), expecting ']' in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 36
[12-Dec-2014 15:36:54 UTC] PHP Parse error:  syntax error, unexpected 'findTratamiento' (T_STRING), expecting variable (T_VARIABLE) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 5
[12-Dec-2014 15:37:58 UTC] PHP Parse error:  syntax error, unexpected ')', expecting '&' or variable (T_VARIABLE) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 48
[12-Dec-2014 15:38:35 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[12-Dec-2014 15:39:19 UTC] PHP Parse error:  syntax error, unexpected 'getTratamiento' (T_STRING), expecting '(' in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 48
[12-Dec-2014 15:39:45 UTC] PHP Parse error:  syntax error, unexpected 'getTratamiento' (T_STRING), expecting '(' in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 48
[12-Dec-2014 15:40:15 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[12-Dec-2014 15:40:27 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 11:50:28 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 13:10:25 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 13:10:33 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 13:11:33 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 13:24:19 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 13:36:31 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in /var/www/bg-dental/app/storage/views/0c5db07601442c3e7b4f49ce01691928 on line 50
[15-Dec-2014 16:22:16 UTC] PHP Parse error:  syntax error, unexpected '{' in /var/www/bg-dental/app/storage/views/27b481800df57bb3e5c3b3a031e91700 on line 34
[15-Dec-2014 16:28:09 UTC] PHP Parse error:  syntax error, unexpected '{', expecting ',' or ';' in /var/www/bg-dental/app/storage/views/27b481800df57bb3e5c3b3a031e91700 on line 34
[15-Dec-2014 16:40:15 UTC] PHP Parse error:  syntax error, unexpected ')' in /var/www/bg-dental/app/routes.php on line 24
[15-Dec-2014 16:40:40 UTC] PHP Parse error:  syntax error, unexpected 'Route' (T_STRING) in /var/www/bg-dental/app/routes.php on line 25
[15-Dec-2014 17:35:53 UTC] PHP Parse error:  syntax error, unexpected ''ano'' (T_CONSTANT_ENCAPSED_STRING) in /var/www/bg-dental/app/storage/views/27b481800df57bb3e5c3b3a031e91700 on line 20
[15-Dec-2014 17:47:25 UTC] PHP Fatal error:  Call to undefined function Input() in /var/www/bg-dental/app/controllers/PacientesController.php on line 38
[15-Dec-2014 17:58:57 UTC] PHP Parse error:  syntax error, unexpected '1' (T_LNUMBER) in /var/www/bg-dental/app/controllers/PacientesController.php on line 12
[15-Dec-2014 18:09:34 UTC] PHP Parse error:  syntax error, unexpected '1' (T_LNUMBER) in /var/www/bg-dental/app/controllers/PacientesController.php on line 13
[15-Dec-2014 18:09:50 UTC] PHP Parse error:  syntax error, unexpected '\' (T_NS_SEPARATOR) in /var/www/bg-dental/app/controllers/PacientesController.php on line 13
[15-Dec-2014 18:10:00 UTC] PHP Parse error:  syntax error, unexpected '','' (T_CONSTANT_ENCAPSED_STRING) in /var/www/bg-dental/app/controllers/PacientesController.php on line 13
[15-Dec-2014 18:52:40 UTC] PHP Parse error:  syntax error, unexpected '$busca' (T_VARIABLE) in /var/www/bg-dental/app/controllers/PacientesController.php on line 56
[15-Dec-2014 19:10:41 UTC] PHP Parse error:  syntax error, unexpected 'numerohistoria' (T_STRING) in /var/www/bg-dental/app/controllers/PacientesController.php on line 57
[15-Dec-2014 19:13:48 UTC] PHP Parse error:  syntax error, unexpected ''%'' (T_CONSTANT_ENCAPSED_STRING) in /var/www/bg-dental/app/controllers/PacientesController.php on line 56
[15-Dec-2014 21:57:38 UTC] PHP Parse error:  syntax error, unexpected '`' in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 70
[15-Dec-2014 21:58:32 UTC] PHP Parse error:  syntax error, unexpected '`' in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 70
[15-Dec-2014 22:30:52 UTC] PHP Parse error:  syntax error, unexpected 'sum' (T_STRING) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 69
[15-Dec-2014 22:31:10 UTC] PHP Parse error:  syntax error, unexpected ''sum(precio_base)'' (T_CONSTANT_ENCAPSED_STRING) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 69
[16-Dec-2014 12:11:29 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 64
[16-Dec-2014 12:11:40 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 64
[16-Dec-2014 12:30:32 UTC] PHP Parse error:  syntax error, unexpected ''='' (T_CONSTANT_ENCAPSED_STRING) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 71
[16-Dec-2014 12:30:43 UTC] PHP Parse error:  syntax error, unexpected 'join' (T_STRING) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 77
[16-Dec-2014 12:45:48 UTC] PHP Parse error:  syntax error, unexpected '(' in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 71
[16-Dec-2014 13:13:26 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
[16-Dec-2014 13:14:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
[16-Dec-2014 13:14:05 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
[16-Dec-2014 13:14:17 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
[16-Dec-2014 13:14:25 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
[16-Dec-2014 13:14:42 UTC] PHP Parse error:  syntax error, unexpected ')' in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 71
[16-Dec-2014 13:27:09 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 64 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 724
